Team,W_L,Date
GSW,W,2015-03-14
GSW,W,2015-03-16
GSW,W,2015-03-18
GSW,W,2015-03-20
GSW,W,2015-03-21
GSW,W,2015-03-23
GSW,W,2015-03-24
GSW,W,2015-03-27
GSW,W,2015-03-28
GSW,W,2015-03-31
GSW,W,2015-04-02
GSW,W,2015-04-04
GSW,L,2015-04-05
GSW,L,2015-04-07
GSW,W,2015-04-09
GSW,W,2015-04-11
GSW,W,2015-04-13
GSW,W,2015-04-15
HOU,W,2014-10-28
HOU,W,2014-10-29
HOU,W,2014-11-01
HOU,W,2014-11-03
HOU,W,2014-11-04
HOU,W,2014-11-06
HOU,L,2014-11-08
HOU,W,2014-11-12
HOU,W,2014-11-14
HOU,W,2014-11-16
HOU,L,2014-11-17
HOU,L,2014-11-19
HOU,W,2014-11-22
HOU,W,2014-11-24
HOU,W,2014-11-26
HOU,L,2014-11-28
HOU,W,2014-11-29
HOU,W,2014-12-03
HOU,W,2014-12-05
HOU,W,2014-12-06
HOU,L,2014-12-10
HOU,W,2014-12-11
HOU,W,2014-12-13
HOU,W,2014-12-17
HOU,L,2014-12-18
HOU,L,2014-12-20
HOU,W,2014-12-22
HOU,W,2014-12-26
HOU,L,2014-12-28
HOU,L,2014-12-29
HOU,W,2014-12-31
HOU,L,2015-01-02
HOU,W,2015-01-03
HOU,L,2015-01-05
HOU,W,2015-01-07
HOU,W,2015-01-08
HOU,W,2015-01-10
HOU,W,2015-01-12
HOU,L,2015-01-14
HOU,W,2015-01-15
HOU,L,2015-01-17
HOU,W,2015-01-19
HOU,L,2015-01-21
HOU,W,2015-01-23
HOU,W,2015-01-25
HOU,W,2015-01-28
HOU,W,2015-01-30
HOU,L,2015-01-31
HOU,W,2015-02-04
HOU,W,2015-02-06
HOU,L,2015-02-08
HOU,W,2015-02-10
HOU,L,2015-02-11
HOU,L,2015-02-20
HOU,W,2015-02-21
HOU,W,2015-02-23
HOU,W,2015-02-25
HOU,W,2015-02-27
HOU,W,2015-03-01
HOU,L,2015-03-03
HOU,L,2015-03-04
HOU,W,2015-03-06
HOU,W,2015-03-07
HOU,L,2015-03-11
HOU,L,2015-03-12
HOU,W,2015-03-15
HOU,W,2015-03-17
HOU,W,2015-03-19
HOU,L,2015-03-21
HOU,W,2015-03-23
HOU,W,2015-03-25
HOU,W,2015-03-27
HOU,W,2015-03-29
HOU,L,2015-03-30
HOU,W,2015-04-01
HOU,W,2015-04-02
HOU,W,2015-04-05
HOU,L,2015-04-08
HOU,L,2015-04-10
HOU,W,2015-04-12
HOU,W,2015-04-13
HOU,W,2015-04-15
IND,W,2014-10-29
IND,L,2014-10-31
IND,L,2014-11-01
IND,L,2014-11-04
IND,L,2014-11-05
IND,L,2014-11-07
IND,L,2014-11-08
IND,W,2014-11-10
IND,W,2014-11-12
IND,L,2014-11-14
IND,W,2014-11-15
IND,W,2014-11-19
IND,L,2014-11-22
IND,W,2014-11-24
IND,L,2014-11-26
IND,W,2014-11-28
IND,L,2014-11-29
IND,L,2014-12-02
IND,L,2014-12-04
IND,L,2014-12-05
IND,L,2014-12-08
IND,L,2014-12-10
IND,L,2014-12-12
IND,L,2014-12-13
IND,W,2014-12-15
IND,L,2014-12-17
IND,L,2014-12-20
IND,W,2014-12-21
IND,W,2014-12-23
IND,L,2014-12-26
IND,W,2014-12-27
IND,L,2014-12-29
IND,W,2014-12-31
IND,W,2015-01-02
IND,L,2015-01-04
IND,W,2015-01-05
IND,L,2015-01-07
IND,W,2015-01-09
IND,L,2015-01-10
IND,L,2015-01-13
IND,L,2015-01-16
IND,L,2015-01-17
IND,L,2015-01-19
IND,L,2015-01-21
IND,L,2015-01-23
IND,W,2015-01-25
IND,L,2015-01-27
IND,W,2015-01-29
IND,L,2015-01-31
IND,W,2015-02-04
IND,W,2015-02-06
IND,W,2015-02-08
IND,L,2015-02-09
IND,W,2015-02-11
IND,W,2015-02-20
IND,W,2015-02-22
IND,L,2015-02-24
IND,W,2015-02-27
IND,W,2015-03-01
IND,W,2015-03-04
IND,W,2015-03-06
IND,W,2015-03-07
IND,W,2015-03-10
IND,W,2015-03-12
IND,L,2015-03-14
IND,L,2015-03-16
IND,L,2015-03-18
IND,L,2015-03-20
IND,L,2015-03-21
IND,L,2015-03-23
IND,W,2015-03-25
IND,L,2015-03-26
IND,W,2015-03-29
IND,L,2015-03-31
IND,L,2015-04-01
IND,W,2015-04-03
IND,W,2015-04-05
IND,W,2015-04-08
IND,W,2015-04-10
IND,W,2015-04-12
IND,W,2015-04-14
IND,L,2015-04-15
LAC,W,2014-10-30
LAC,W,2014-10-31
LAC,L,2014-11-02
LAC,W,2014-11-03
LAC,L,2014-11-05
LAC,W,2014-11-08
LAC,L,2014-11-10
LAC,W,2014-11-15
LAC,L,2014-11-17
LAC,W,2014-11-19
LAC,W,2014-11-20
