player,draft_year,pro_height_inches,pro_weight_lb,date_of_birth
nemanja-bjelica,2010,82,234,1988-05-09
terrico-white,2010,,,
darington-hobson,2010,79,210,1987-09-29
andy-rautins,2010,76,190,1986-11-02
landry-fields,2010,79,210,1988-06-27
lance-stephenson,2010,78,230,1990-09-05
jarvis-varnado,2010,81,230,1988-03-01
da'sean-butler,2010,,,
devin-ebanks,2010,81,215,1989-10-28
jerome-jordan,2010,84,253,1986-09-29
paulao-prestes,2010,83,260,1988-02-15
gani-lawal,2010,81,234,1988-11-07
tiny-gallon,2010,,,
latavious-williams,2010,80,195,1989-03-29
ryan-richards,2010,83,265,1991-04-24
solomon-alabi,2010,85,251,1988-03-21
magnum-rolle,2010,,,
luke-harangody,2010,80,246,1988-01-02
pape-sy,2010,79,225,1988-04-05
willie-warren,2010,76,203,1989-10-22
jeremy-evans,2010,81,200,1987-10-24
hamady-n'diaye,2010,84,235,1987-01-12
ryan-reid,2010,80,232,1986-10-30
derrick-caracter,2010,81,275,1988-05-04
stanley-robinson,2010,,,
dwayne-collins,2010,81,240,1988-04-13
kyrie-irving,2011,74,195,1992-03-23
derrick-williams,2011,80,240,1991-05-25
enes-kanter,2011,82,250,1992-05-20
tristan-thompson,2011,81,254,1991-03-13
jonas-valanciunas,2011,83,265,1992-05-06
jan-vesely,2011,83,240,1990-04-24
bismack-biyombo,2011,80,255,1992-08-28
brandon-knight,2011,74,182,1991-12-02
kemba-walker,2011,72,184,1990-05-08
jimmer-fredette,2011,74,195,1989-02-25
klay-thompson,2011,78,215,1990-02-08
alec-burks,2011,78,214,1991-07-20
markieff-morris,2011,81,245,1989-09-02
marcus-morris,2011,80,218,1989-09-02
kawhi-leonard,2011,79,225,1991-06-29
nikola-vucevic,2011,83,260,1990-10-24
iman-shumpert,2011,77,215,1990-06-26
chris-singleton,2011,80,230,1989-11-21
tobias-harris,2011,80,226,1992-07-15
donatas-motiejunas,2011,84,222,1990-09-20
nolan-smith,2011,74,185,1988-07-25
kenneth-faried,2011,80,220,1989-11-19
nikola-mirotic,2011,82,250,1991-02-11
reggie-jackson,2011,74,208,1990-04-16
marshon-brooks,2011,77,200,1989-01-26
jordan-hamilton,2011,79,220,1990-10-06
jajuan-johnson,2011,82,221,1989-02-08
norris-cole,2011,74,175,1988-10-13
cory-joseph,2011,75,200,1991-08-20
jimmy-butler,2011,79,230,1989-09-14
bojan-bogdanovic,2011,80,226,1989-04-18
justin-harper,2011,82,225,1989-08-30
kyle-singler,2011,80,228,1988-05-04
shelvin-mack,2011,75,203,1990-04-22
tyler-honeycutt,2011,80,188,1990-07-15
jordan-williams,2011,82,260,1990-10-11
trey-thompkins,2011,82,245,1990-05-20
chandler-parsons,2011,81,230,1988-10-25
jeremy-tyler,2011,82,260,1991-06-21
jon-leuer,2011,82,228,1989-05-14
darius-morris,2011,76,190,1991-01-03
davis-bertans,2011,82,225,1992-11-12
malcolm-lee,2011,77,200,1990-05-22
charles-jenkins,2011,75,220,1989-02-28
josh-harrellson,2011,82,275,1989-02-12
andrew-goudelock,2011,75,200,1988-12-07
travis-leslie,2011,76,205,1990-03-29
keith-benson,2011,83,240,1988-08-13
josh-selby,2011,74,183,1991-03-27
lavoy-allen,2011,81,260,1989-02-04
jon-diebler,2011,78,205,1988-06-22
vernon-macklin,2011,82,227,1986-09-20
deandre-liggins,2011,78,209,1988-03-31
milan-macvan,2011,81,265,1989-11-16
e'twaun-moore,2011,75,191,1989-02-25
chukwudiebere-maduabum,2011,81,210,1991-03-19
targuy-ngombo,2011,,,
ater-majok,2011,82,233,1987-07-04
adam-hanga,2011,79,205,1989-04-12
isaiah-thomas,2011,69,185,1989-02-07
anthony-davis,2012,82,253,1993-03-11
michael-kidd-gilchrist,2012,78,232,1993-09-26
bradley-beal,2012,75,207,1993-06-28
dion-waiters,2012,75,215,1991-12-10
thomas-robinson,2012,82,237,1991-03-17
damian-lillard,2012,74,195,1990-07-15
harrison-barnes,2012,80,225,1992-05-30
terrence-ross,2012,78,206,1991-02-05
andre-drummond,2012,82,279,1993-08-10
austin-rivers,2012,76,200,1992-08-01
meyers-leonard,2012,84,260,1992-02-27
jeremy-lamb,2012,77,180,1992-05-30
kendall-marshall,2012,76,200,1991-08-19
