team,player,college
DET,vernon-macklin,Florida
ORL,deandre-liggins,Kentucky
CLE,milan-macvan,
BOS,e'twaun-moore,Purdue
LAL,chukwudiebere-maduabum,
DAL,targuy-ngombo,
LAL,ater-majok,
SAS,adam-hanga,
SAC,isaiah-thomas,Washington
NOH,anthony-davis,Kentucky
CHA,michael-kidd-gilchrist,Kentucky
WAS,bradley-beal,Florida
CLE,dion-waiters,Syracuse
SAC,thomas-robinson,Kansas
POR,damian-lillard,Weber State
GSW,harrison-barnes,UNC
TOR,terrence-ross,Washington
DET,andre-drummond,UConn
NOH,austin-rivers,Duke
POR,meyers-leonard,Illinois
HOU,jeremy-lamb,UConn
PHO,kendall-marshall,UNC
MIL,john-henson,UNC
PHI,maurice-harkless,St. John's
HOU,royce-white,Iowa State
DAL,tyler-zeller,UNC
HOU,terrence-jones,Kentucky
ORL,andrew-nicholson,St. Bonaventure
DEN,evan-fournier,
BOS,jared-sullinger,Ohio State
BOS,fab-melo,Syracuse
ATL,john-jenkins,Vanderbilt
CLE,jared-cunningham,Oregon State
MEM,tony-wroten,Washington
IND,miles-plumlee,Duke
MIA,arnett-moultrie,Mississippi State
OKC,perry-jones,Baylor
CHI,marquis-teague,Kentucky
GSW,festus-ezeli,Vanderbilt
CHA,jeff-taylor,Vanderbilt
WAS,tomas-satoransky,
CLE,bernard-james,Florida State
CLE,jae-crowder,Marquette
GSW,draymond-green,Michigan State
SAC,orlando-johnson,UC Santa Barbara
TOR,quincy-acy,Baylor
DEN,quincy-miller,Baylor
DET,khris-middleton,Texas A&M
POR,will-barton,Memphis
POR,tyshawn-taylor,Kansas
MIL,doron-lamb,Kentucky
ATL,mike-scott,Virginia
DET,kim-english,Missouri
PHI,justin-hamilton,LSU
NOH,darius-miller,Kentucky
UTA,kevin-murphy,Tennessee Technological University
NYK,kostas-papanikolaou,
ORL,kyle-o'quinn,Norfolk State
DEN,izzet-turkylmaz,
BOS,kris-joseph,Syracuse
GSW,ognjen-kuzmic,
LAC,furkan-aldemir,
PHI,tornike-shengelia,
DAL,darius-johnson-odom,Marquette
TOR,tomislav-zubcic,
NJN,ilkan-karaman,
MIN,robbie-hummel,Purdue
SAS,marcus-denmon,Missouri
LAL,robert-sacre,Gonzaga
CLE,anthony-bennett,UNLV
ORL,victor-oladipo,Indiana
WAS,otto-porter,Georgetown
CHA,cody-zeller,Indiana
PHO,alex-len,Maryland
NOH,nerlens-noel,Kentucky
SAC,ben-mclemore,Kansas
DET,kentavious-caldwell-pope,Georgia
MIN,trey-burke,Michigan
POR,cj-mccollum,Lehigh
PHI,michael-carter-williams,Syracuse
OKC,steven-adams,Pitt
DAL,kelly-olynyk,Gonzaga
UTA,shabazz-muhammad,UCLA
MIL,giannis-antetokounmpo,
BOS,lucas-nogueira,
ATL,dennis-schroder,
ATL,shane-larkin,Miami (FL)
CLE,sergey-karasev,
CHI,tony-snell,New Mexico
UTA,gorgui-dieng,Louisville
BRK,mason-plumlee,Duke
IND,solomon-hill,Arizona
NYK,tim-hardaway-jr.,Michigan
LAC,reggie-bullock,UNC
MIN,andre-roberson,Colorado
DEN,rudy-gobert,
SAS,livio-jean-charles,
OKC,archie-goodwin,Kentucky
PHO,nemanja-nedovic,
CLE,allen-crabbe,California
OKC,alex-abrines,
CLE,carrick-felix,Arizona State
HOU,isaiah-canaan,Murray State
PHI,glen-rice-jr.,Georgia Tech
SAC,ray-mccallum,Detroit Mercy
