College,Year,Games,Wins
Columbia,2018,26,8
Cornell,2018,27,12
Dartmouth,2018,26,7
Harvard,2018,31,18
Princeton,2018,28,13
Yale,2018,30,16
Brown,2019,30,20
Columbia,2019,26,10
Cornell,2019,29,15
Dartmouth,2019,28,11
Harvard,2019,30,19
Penn,2019,30,19
Princeton,2019,26,16
Canisius,2015,33,18
Fairfield,2015,31,7
Iona,2015,35,26
Marist,2015,32,7
Monmouth,2015,33,18
Niagara,2015,30,8
Quinnipiac,2015,30,15
Rider,2015,33,21
Saint Peter's,2015,34,16
Siena,2015,31,11
Canisius,2016,33,14
Fairfield,2016,33,19
Manhattan,2016,31,13
Marist,2016,30,7
Monmouth,2016,36,28
Niagara,2016,32,7
Quinnipiac,2016,30,9
Rider,2016,33,13
Saint Peter's,2016,30,14
Siena,2016,34,21
Canisius,2017,34,18
Fairfield,2017,31,16
Manhattan,2017,32,10
Marist,2017,32,8
Monmouth,2017,34,27
Niagara,2017,33,10
Quinnipiac,2017,31,10
Rider,2017,33,18
Saint Peter's,2017,36,23
Siena,2017,34,17
Canisius,2018,33,21
Fairfield,2018,33,17
Manhattan,2018,31,14
Marist,2018,31,6
Monmouth,2018,31,11
Niagara,2018,33,19
Quinnipiac,2018,33,12
Rider,2018,32,22
Saint Peter's,2018,32,14
Siena,2018,32,8
Canisius,2019,32,15
Fairfield,2019,31,9
Manhattan,2019,32,11
Marist,2019,31,12
Monmouth,2019,35,14
Niagara,2019,32,13
Quinnipiac,2019,31,16
Rider,2019,31,16
Saint Peter's,2019,32,10
Siena,2019,33,17
Akron,2015,34,20
Ball St.,2015,29,6
Bowling Green,2015,32,21
Central Michigan,2015,29,20
Eastern Michigan,2015,31,17
Kent St.,2015,34,22
Miami OH,2015,31,12
Northern Illinois,2015,29,13
Ohio,2015,30,10
Toledo,2015,33,20
Western Michigan,2015,32,18
Akron,2016,34,25
Ball St.,2016,34,20
Bowling Green,2016,32,14
Central Michigan,2016,30,14
Eastern Michigan,2016,29,14
Kent St.,2016,31,18
Miami OH,2016,32,12
Northern Illinois,2016,30,17
Ohio,2016,34,22
Toledo,2016,31,16
Western Michigan,2016,30,11
Akron,2017,35,27
Ball St.,2017,33,21
Bowling Green,2017,31,13
Buffalo,2017,30,17
Central Michigan,2017,30,16
Eastern Michigan,2017,29,16
Miami OH,2017,30,11
Northern Illinois,2017,29,15
Ohio,2017,30,20
Toledo,2017,33,17
Western Michigan,2017,31,16
Akron,2018,31,14
Ball St.,2018,31,19
Bowling Green,2018,30,16
Central Michigan,2018,33,21
Eastern Michigan,2018,31,22
Kent St.,2018,33,17
Miami OH,2018,32,16
Northern Illinois,2018,30,12
Ohio,2018,30,14
Toledo,2018,33,23
Western Michigan,2018,30,17
Akron,2019,31,17
Ball St.,2019,32,16
Bowling Green,2019,32,22
Central Michigan,2019,32,23
Eastern Michigan,2019,28,15
Kent St.,2019,31,22
Miami OH,2019,30,15
Northern Illinois,2019,32,17
Ohio,2019,30,14
Toledo,2019,32,25
Western Michigan,2019,31,8
Bethune Cookman,2015,30,9
Coppin St.,2015,30,7
Delaware St.,2015,34,16
Florida A&M,2015,29,2
Howard,2015,29,13
Maryland Eastern Shore,2015,33,18
Morgan St.,2015,31,7
Norfolk St.,2015,32,18
North Carolina A&T,2015,30,7
North Carolina Central,2015,30,22
Savannah St.,2015,29,7
South Carolina St.,2015,31,9
Bethune Cookman,2016,30,12
Coppin St.,2016,29,7
Delaware St.,2016,30,5
Florida A&M,2016,27,6
Howard,2016,30,10
Maryland Eastern Shore,2016,31,9
Morgan St.,2016,30,8
Norfolk St.,2016,32,15
North Carolina A&T,2016,31,10
North Carolina Central,2016,29,10
Savannah St.,2016,30,14
South Carolina St.,2016,32,17
Bethune Cookman,2017,30,10
Coppin St.,2017,30,8
Delaware St.,2017,30,10
Florida A&M,2017,28,7
Hampton,2017,29,14
Howard,2017,32,10
Maryland Eastern Shore,2017,32,14
Morgan St.,2017,29,14
Norfolk St.,2017,32,17
North Carolina A&T,2017,30,3
Savannah St.,2017,27,13
South Carolina St.,2017,29,11
Bethune Cookman,2018,30,18
Coppin St.,2018,32,5
Delaware St.,2018,30,4
Florida A&M,2018,33,9
Hampton,2018,32,19
Howard,2018,31,10
Maryland Eastern Shore,2018,30,7
Morgan St.,2018,30,13
Norfolk St.,2018,30,14
North Carolina A&T,2018,33,20
Savannah St.,2018,30,15
South Carolina St.,2018,30,10
Bethune Cookman,2019,29,14
Coppin St.,2019,33,8
Delaware St.,2019,29,6
Florida A&M,2019,29,12
Howard,2019,31,17
Maryland Eastern Shore,2019,30,7
Morgan St.,2019,28,9
Norfolk St.,2019,33,22
North Carolina A&T,2019,30,19
Savannah St.,2019,30,11
South Carolina St.,2019,32,8
Bradley,2015,32,8
Drake,2015,30,8
Evansville,2015,35,23
Illinois St.,2015,34,21
Indiana St.,2015,30,14
Loyola Chicago,2015,35,22
Missouri St.,2015,29,9
Southern Illinois,2015,32,11
Bradley,2016,31,4
Drake,2016,30,6
Evansville,2016,33,24
Illinois St.,2016,31,17
Indiana St.,2016,31,14
Loyola Chicago,2016,31,14
Missouri St.,2016,31,12
Southern Illinois,2016,32,22
Bradley,2017,32,13
Drake,2017,29,7
Evansville,2017,31,16
Illinois St.,2017,34,28
Indiana St.,2017,30,11
Loyola Chicago,2017,30,18
Missouri St.,2017,32,17
